SL No.,State/UT Name,District Name,Mine Name,Coal/ Lignite Production (MT) (2019-2020),Coal Mine Owner Name,Coal/Lignite,Govt Owned/Private,Type of Mine (OC/UG/Mixed),Latitude ,Longitude ,Source,Accuracy (exact vs approximate),
69,West Bengal,Purulia, DUBESWARI ,0.06,ECL,Coal,G,UG,23.6615,86.8235,"Google Maps: https://www.google.com/maps/place/Dubeswari+mine/@23.6614217,86.8232425,19z/data=!4m12!1m6!3m5!1s0x39f6e19cd6435dc5:0x9d822cc4ed1a1a90!2sDubeswari+Colliery+Incline+Office!8m2!3d23.6611985!4d86.8237565!3m4!1s0x39f6e13516e0b83f:0xbf8d53a277f5277!8m2!3d23.6615031!4d86.8235202",Approximate: PIN 713324,
70,West Bengal,Birbhum,Barjora Coal Mine ,0.4,WBPDCL,Coal,SG,OC,23.7454,87.2264,"Google Maps: https://www.google.com/maps/place/Barjora+Coal+Mines,+Birbhum/@23.7453652,87.2241715,17z/data=!3m1!4b1!4m5!3m4!1s0x39f741c494881fdf:0xd4fc19a6112a5a31!8m2!3d23.7453603!4d87.2263602",Exact,
71,Jharkhand ,Godda,RAJMAHAL,17.37,ECL,Coal,G,OC,25.038,87.3538,"Google Maps: https://www.google.com/maps/place/Rajmahal+Coal+Mines,+Lalmatia,+Jharkhand+814165,+India/@25.0381658,87.3533988,19z/data=!4m5!3m4!1s0x39f0651106eedb73:0xd9b47a3635bdc9d3!8m2!3d25.0379784!4d87.3537738",Exact,
72,Jharkhand ,Godda,HURRA 'C',0,ECL,Coal,G,OC,24.9867,87.3808,"Google Maps: https://www.google.com/maps/place/Hura+C+OC+patch+mine/@24.9867184,87.3806901,21z/data=!4m5!3m4!1s0x39f064ad4a3916a7:0xfcc310810789294a!8m2!3d24.9867136!4d87.3808269",Exact,
73,Jharkhand ,Deoghar,CHITRA EAST,2.05,ECL,Coal,G,OC,24.119,86.8636,"Google Maps: https://www.google.com/maps/place/Chitra+Colliery+Open+Mines/@24.1256011,86.8448806,14z/data=!4m5!3m4!1s0x39f12ad674df3cb5:0xd1f3e072fd350b4f!8m2!3d24.1180257!4d86.8634995",Approximate: PIN 815357,
74,Jharkhand ,Dhanbad ,Tasra (CAPTIVE),0.185,SAIL,Coal,G,OC,23.6532,86.4704,Tasra Coal Mining Project Monitoring Report: http://environmentclearance.nic.in/writereaddata/Monitoring/9CD0QBFP_103-156%20to%20upload.pdf,Exact,
75,Jharkhand ,Dhanbad ,Jitpur (CAPTIVE),0.092,IISCO,Coal,G,OC,23.71510714,86.39069483,"Google Maps: https://www.google.com/maps/place/Jitpur+Colliery/@23.7131085,86.3862968,997m/data=!3m1!1e3!4m5!3m4!1s0x39f69870cfcaf4d1:0x64d1b6343bee3944!8m2!3d23.7149044!4d86.3901007",Approximate: Jitpur colliery,
76,Jharkhand ,Dhanbad ,Chasnala (CAPTIVE),0.35,IISCO,Coal,G,OC,23.665,86.4568,Chasnalla Colliery Environmental Clearance: http://environmentclearance.nic.in/writereaddata/Online/TOR/0_0_01_Feb_2015_1936207101Annexure-Briefsummaryofproject.pdf,Exact,
77,Jharkhand ,Dhanbad , BADJNA ,0.07,ECL,Coal,G,UG,23.8004,86.6957,"Google Maps: https://www.google.com/maps/place/Badjna+Colliery/@23.8003731,86.6955444,21z/data=!4m5!3m4!1s0x39f6c398ba88f0a9:0x3fc4ea95610a8f3!8m2!3d23.8003735!4d86.6956802",Exact,
78,Jharkhand ,Dhanbad ,HARIAJAM,0.06,ECL,Coal,G,UG,23.7926,86.6903,"Google Maps: https://www.google.com/maps/place/Hariajam+Colliery,Mugam+Area/@23.7926363,86.690195,21z/data=!4m5!3m4!1s0x39f6c3bb434e6f45:0x24c09522ec8a8dd3!8m2!3d23.7926314!4d86.6903318",Exact,
79,Jharkhand ,Dhanbad ,LAKHIMATA,0.08,ECL,Coal,G,UG,23.7729,86.7314,"Google Maps: https://www.google.com/maps/place/Lakhimata+underground+mines/@23.77294,86.731284,21z/data=!4m5!3m4!1s0x39f6c30ccba5dcd3:0xd5c1a685a34a9e0c!8m2!3d23.7729364!4d86.7314205",Exact,
80,Jharkhand ,Dhanbad ,SHAYAMPUR-B ,0.08,ECL,Coal,G,UG,23.7623,86.7321,"Google Maps: https://www.google.com/maps/place/Shyampur+B+Colliery/@23.7622543,86.7319375,21z/data=!4m5!3m4!1s0x39f6c2cf850cb66b:0x1983dcb4eeb5750a!8m2!3d23.7622494!4d86.7320743",Exact,
81,Jharkhand ,Dhanbad ,KUMARDHUBI,0.03,ECL,Coal,G,UG,23.7464,86.7962,"Google Maps: https://www.google.com/maps/place/Kumardhubi+Colliery/@23.7463196,86.794797,18z/data=!4m5!3m4!1s0x39f6dd916bbe4681:0x7e617a5031235775!8m2!3d23.746316!4d86.7958911",Exact,
82,Jharkhand ,Dhanbad ,KHOODIA,0.04,ECL,Coal,G,UG,23.7738,86.7297,"Google Maps: https://www.google.com/maps/place/Khoodia+Colliery/@23.7737819,86.7295822,21z/data=!4m5!3m4!1s0x39f6c3a5c74f86b3:0x45a0230bb716b3a7!8m2!3d23.773777!4d86.729719",Exact,
83,Jharkhand ,Dhanbad ,RAJPURA,0.21,ECL,Coal,G,OC,23.7586,86.7731,"Google Maps: https://www.google.com/maps/place/Rajpura+Colliery+R.+O.+C.+P/@23.7586566,86.7722678,18.5z/data=!4m5!3m4!1s0x39f6dd4497483e97:0x7a116baa362bbcf1!8m2!3d23.7585284!4d86.7730595",Exact,
84,Jharkhand ,Dhanbad ,BARMURI,0.43,ECL,Coal,G,OC,23.7525,86.812,"Google Maps: https://www.google.com/maps/place/Baramuri,+Jharkhand,+India/@23.7502394,86.8082603,15z/data=!3m1!4b1!4m5!3m4!1s0x39f6dde134d2b62b:0x9ebb6071e35cf7c!8m2!3d23.751428!4d86.8145025",Approximate coordinates of Baramuri area,
85,Jharkhand ,Dhanbad ,KAPASARA,0.4,ECL,Coal,G,OC,23.7585,86.7545,"Google Maps: https://www.google.com/maps/place/Kapasara,+Jharkhand,+India/@23.7574294,86.7443251,15z/data=!3m1!4b1!4m8!1m2!2m1!1sKAPASARA+colliery!3m4!1s0x39f6dd39bfa9aa25:0x62475c483fe10119!8m2!3d23.7576345!4d86.755465",Approximate coordinates of Kapasara area,
86,Jharkhand ,Dhanbad ,NIRSHA,0.19,ECL,Coal,G,OC,23.7873,86.7058,"Google Maps: https://www.google.com/maps/place/Nirsa,+Jharkhand+828205,+India/@23.7869739,86.697042,15z/data=!3m1!4b1!4m5!3m4!1s0x39f6c3060fa01c31:0xd212d28573278bbb!8m2!3d23.7847768!4d86.7039059",Approximate: center coordinates of Nirsa,
87,Jharkhand ,Dhanbad , CHAPAPUR -II ,0.18,ECL,Coal,G,Mixed,23.8049,86.6755,"Google Maps: https://www.google.com/maps/place/Chapapur+2+Colliery/@23.8049517,86.6753025,20z/data=!4m5!3m4!1s0x39f6c3e31ed23287:0xa547e8ce2914ff87!8m2!3d23.804905!4d86.675497",Exact,
88,Jharkhand ,Dhanbad ,JOGIDIH ,0.04,BCCL,Coal,G,UG,23.8087,86.26037,"Google Maps: https://www.google.com/maps/place/BCCL+Area+3+Jogidih+Colliery/@23.8086472,86.2580544,17z/data=!4m8!1m2!2m1!1sBCCL+jogidih+colliery!3m4!1s0x39f6a1d3b4726f77:0xafdf08e37ab70dce!8m2!3d23.8086573!4d86.2603016",Exact,
89,Jharkhand ,Dhanbad ,KHARKAREE,0.02,BCCL,Coal,G,UG,23.7773,86.2391,"Google Maps: https://www.google.com/maps/place/BCCL+Kharkharee+Colliery+Office/@23.7772752,86.2379997,18z/data=!3m1!4b1!4m5!3m4!1s0x39f41e39d66b6ff5:0xa2950427c0ef8675!8m2!3d23.7772727!4d86.239094",Approximate: coordinates of BCCL Kharkharee Colliery Office,
90,Jharkhand ,Dhanbad ,MAHESHPUR,0.02,BCCL,Coal,G,UG,23.7864,86.2556,"Google Maps: https://www.google.com/maps/place/Maheshpur+Colliery,+UG+Coal+Mine/@23.7863478,86.2553703,20z/data=!4m5!3m4!1s0x39f41e2089bbfa81:0x8e61794731f03748!8m2!3d23.786364!4d86.2556399",Exact,
91,Jharkhand ,Dhanbad ,SALANPUR,0.07,BCCL,Coal,G,UG,23.8083,86.298,"Google Maps: https://www.google.com/maps/place/Salanpur+Mines/@23.8081934,86.2977071,20z/data=!4m5!3m4!1s0x39f6a129f62190b7:0x1da91b346bfa5dc6!8m2!3d23.8082729!4d86.2979648",Exact,
92,Jharkhand ,Dhanbad ,MUUDIDIH,0.01,BCCL,Coal,G,UG,23.74128,86.35299,"https://www.google.com/maps/place/B.C.C.L+Colliery,+Moonidih,+Dhanbad/@23.7424362,86.3457621,16.64z/data=!4m13!1m7!3m6!1s0x39f6a217c822a9ef:0x46e571290d7bc453!2sMoonidih,+Jharkhand,+India!3b1!8m2!3d23.7434016!4d86.3486763!3m4!1s0x39f6a223027a1d71:0x66e2603d776126a1!8m2!3d23.7410012!4d86.352708",Exact,
93,Jharkhand ,Dhanbad ,BHAGABAND,0.02,BCCL,Coal,G,UG,23.7416,86.3861,"Google Maps: https://www.google.com/maps/place/Bhagabandh+Colliery/@23.7415281,86.3859519,20z/data=!4m12!1m6!3m5!1s0x39f6a37ca7e0294b:0x274b30041b3a756!2sBhagabandh+Colliery!8m2!3d23.7416153!4d86.3824436!3m4!1s0x39f6a28dac247b4f:0x63ebbf4d915eafdf!8m2!3d23.7415573!4d86.3861062",Exact,
94,Jharkhand ,Dhanbad ,"P, B. PROJECT",0.02,BCCL,Coal,G,UG,23.7553,86.3633,"Google Maps: https://www.google.com/maps/place/P.B.Project,+B.C.C.L.+Office,+Aralgaria+Road,+Aralgoria,+Jharkhand+828116,+India/@23.7552552,86.3632006,21z/data=!4m5!3m4!1s0x39f6a245e1389b13:0x68b4b44d26ffb782!8m2!3d23.7552556!4d86.3633364",Exact,
95,Jharkhand ,Dhanbad ,KB 10/12 PITS UG,0.003,BCCL,Coal,G,UG,23.7556,86.3759,"Google Maps: https://www.google.com/maps/place/Baliari,+Jharkhand,+India/@23.7544494,86.3666352,15z/data=!3m1!4b1!4m8!1m2!2m1!1sKachi+Balihari+Mine!3m4!1s0x39f6a25018704e89:0x9a04d6cd10375da7!8m2!3d23.7536878!4d86.3756867",Approximate: center coordinates of Baliari area,
96,Jharkhand ,Dhanbad ,BASTACOLLA,0.13,BCCL,Coal,G,UG,23.7634,86.4163,"Google Maps: https://www.google.com/maps/place/Basta+colla+colliery+office/@23.7634763,86.4160208,19z/data=!4m8!1m2!2m1!1sBASTACOLLA+colliery!3m4!1s0x0:0x490a7a75b6a127e4!8m2!3d23.7633602!4d86.4162774",Approximate: coordinates of Basta colla colliery office,
97,Jharkhand ,Dhanbad ,"BHOWRAH(NORTH)
COLLIERY",0.01,BCCL,Coal,G,UG,23.688,86.399,"Google Maps: https://www.google.com/maps/place/Bhowra+High+School+Ground,+Pathardih,+Jharkhand+828302,+India/@23.686477,86.3962123,672m/data=!3m1!1e3!4m8!1m2!2m1!1sBHOWRAH+colliery!3m4!1s0x39f6983871e0e615:0x5b5a2231bf81c58c!8m2!3d23.6878476!4d86.3990331",Approximate: coordinates of Bhowra High School Ground,
98,Jharkhand ,Dhanbad ,MOONIDIH PROJECT,0.53,BCCL,Coal,G,UG,23.741,86.3527,"Google Maps: https://www.google.com/maps/place/B.C.C.L+Colliery,+Moonidih,+Dhanbad/@23.7410103,86.3526427,21z/data=!4m5!3m4!1s0x39f6a223027a1d71:0x66e2603d776126a1!8m2!3d23.7410005!4d86.3527077",Exact,
99,Jharkhand ,Dhanbad ,MURAIDIH,1.04,BCCL,Coal,G,OC,23.808,86.2389,"Google Maps: https://www.google.com/maps/place/Muraidih,+Jharkhand,+India/@23.8079193,86.2299052,15z/data=!3m1!4b1!4m5!3m4!1s0x39f41e0b7616ecb7:0x3fca938196118e26!8m2!3d23.8098348!4d86.2387144",Approximate: center coordinates of Muraidih area,
100,Jharkhand ,Dhanbad ,AMALGAMATED BOCP MINE,1.65,BCCL,Coal,G,OC,23.75722302,86.79445561,"https://www.google.com/maps/place/BOCP+Coal+Depot/@23.7569628,86.792224,17z/data=!4m12!1m6!3m5!1s0x39f6ddf44f2cbfb5:0x5b935c1887eccaa2!2sBOCP+Coal+Depot!8m2!3d23.7569579!4d86.7944127!3m4!1s0x39f6ddf44f2cbfb5:0x5b935c1887eccaa2!8m2!3d23.7569579!4d86.7944127",Exact,
101,Jharkhand ,Dhanbad ,"AMALGAMTED BLOCK-IV GOVINDPUR
COLLIERY(ABGC)",0.58,BCCL,Coal,G,OC,23.80105166,86.27696513,"https://www.google.com/maps/place/Govindpur+Colliery+Office,+BCCL/@23.8008897,86.2745404,17z/data=!3m1!4b1!4m5!3m4!1s0x39f6a0b809c9a197:0xfb13935946cebcf6!8m2!3d23.8008848!4d86.2767291",Exact,
102,Jharkhand ,Dhanbad ,NICHITPUR,0.61,BCCL,Coal,G,OC,23.7917,86.3444,FORM- I FOR CLUSTER V OF BCCL MINES: http://environmentclearance.nic.in/writereaddata/modification/PreviousTOR/13092017UZBIBOX5Annexure-UpdatedForm1Letter.pdf,Exact,
103,Jharkhand ,Dhanbad ,SENDRA BANSJORA,1.17,BCCL,Coal,G,OC,23.7875,86.3472,FORM- I FOR CLUSTER V OF BCCL MINES: http://environmentclearance.nic.in/writereaddata/modification/PreviousTOR/13092017UZBIBOX5Annexure-UpdatedForm1Letter.pdf,Exact,
104,Jharkhand ,Dhanbad ,KANKANEE,0.38,BCCL,Coal,G,OC,23.775,86.3417,FORM- I FOR CLUSTER V OF BCCL MINES: http://environmentclearance.nic.in/writereaddata/modification/PreviousTOR/13092017UZBIBOX5Annexure-UpdatedForm1Letter.pdf,Exact,
105,Jharkhand ,Dhanbad ,BANSDEOPUR,0.03,BCCL,Coal,G,OC,23.725,86.3625,FORM- I FOR CLUSTER V OF BCCL MINES: http://environmentclearance.nic.in/writereaddata/modification/PreviousTOR/13092017UZBIBOX5Annexure-UpdatedForm1Letter.pdf,Exact,
106,Jharkhand ,Dhanbad ,E. BASSURIYA,0.54,BCCL,Coal,G,OC,23.7979,86.3694,BCCL FEASIBILITY REPORT OF EAST BASURIA COLLIERY: http://forestsclearance.nic.in/writereaddata/FormA/Miningletter/11111812371217MQDPLFR_EastBasuriaOCFinal.pdf,Exact,
107,Jharkhand ,Dhanbad ,"AMALGAMATED DHANSAR. INOUSTRY.
COLLIERY",0.83,BCCL,Coal,G,OC,23.77445398,86.41349435,"https://www.google.com/maps/search/DHANSAR+Open+Cast+Dhanbad,+Jharkhand,+India/@23.7746274,86.4128738,142m/data=!3m1!1e3",Approximate coordinates of Dhansar area,
108,Jharkhand ,Dhanbad ,ENA,1.67,BCCL,Coal,G,OC,23.7568,86.4094,"Google Maps: https://www.google.com/maps/place/PRATHMIK+VHIDYALAYA+ENA+COLLIERY/@23.7568029,86.4083096,18z/data=!4m8!1m2!2m1!1sena!3m4!1s0x39f6a2cfe5a05975:0x873397910b0d303d!8m2!3d23.7568029!4d86.4094039",Approximate: coordinates of primary school in Ena Colliery area,
109,Jharkhand ,Dhanbad ,KENDUADIH,0.13,BCCL,Coal,G,OC,23.7371,86.3744,"Google Maps: https://www.google.com/maps/place/Kenduadih,+Jharkhand,+India/@23.7356778,86.364136,15z/data=!4m5!3m4!1s0x39f6a30f2b35bfe7:0xe845a84ac7861f6d!8m2!3d23.7358628!4d86.3756867",Approximate: coordinates of Kenduadih area,
110,Jharkhand ,Dhanbad ,ROCP,2.23,BCCL,Coal,G,OC,23.75592983,86.42099724,"Google Maps: https://www.google.com/maps/search/ROCP+OCP++%2B++Dhanbad/@23.7561624,86.4174075,646m/data=!3m1!1e3",Approximate: coordinates of ROCP area,
111,Jharkhand ,Dhanbad ,"AMALGAMATEO N.T.S.T. JEENAGORA
COLLIERY",2.54,BCCL,Coal,G,OC,23.7028,86.4403,"Google Maps: https://www.google.com/maps/place/Jeenagora+BCCL+hospital+828115/@23.7027069,86.4395571,18z/data=!4m13!1m7!3m6!1s0x39f697c276994f67:0xae721e1011518943!2sJeenagora,+Tisra,+Jharkhand,+India!3b1!8m2!3d23.7085806!4d86.4432206!3m4!1s0x39f697c1b8c877e7:0x89589cbcea9623bd!8m2!3d23.7027726!4d86.4403251",Approximate: coordinates of Jeenagora BCCL hospital,
112,Jharkhand ,Dhanbad ,AMALGAMATEO SUDAMDIH. PATHERDIH COLLIERY,0.18,BCCL,Coal,G,OC,23.667,86.432,"Google Maps: https://www.google.com/maps/place/Patherdih+Colliery+Agent's+Office/@23.6670663,86.4315285,20z/data=!4m5!3m4!1s0x39f6977119f6c947:0x267fe894a9f1e342!8m2!3d23.6669928!4d86.431963",Approximate: coordinates of Patherdih Colliery Agent's Office,
113,Jharkhand ,Dhanbad ,BASANTIMATA-DAHIBARI COLLIERY,0.78,BCCL,Coal,G,OC,23.725,86.7465,BCCL Website: http://www.bcclweb.in/?page_id=1715,Exact,
114,Jharkhand ,Dhanbad ,AGKCC,0.16,BCCL,Coal,G,OC,23.80983994,86.29179139,"Google Maps: https://www.google.com/maps/search/GAZLITAND+KATRAS+CHOITIDIH+COLLIERY%2B+Dhanbad,+Jharkhand,+India/@23.8096044,86.2773718,6758m/data=!3m2!1e3!4b1",Approximate: coordinates of the Khatras area,
115,Jharkhand ,Dhanbad ,PHULARITAND,2.68,BCCL,Coal,G,Mixed,23.782,86.2229,"Google Maps: https://www.google.com/maps/place/Phularitand+Hired+Patch.(Colliery)/@23.7820301,86.2227211,21z/data=!4m12!1m6!3m5!1s0x39f41e5b855a1c47:0x87b5c410e9c6e2d3!2sPhularitand+Hired+Patch.(Colliery)!8m2!3d23.7820252!4d86.2228579!3m4!1s0x39f41e5b855a1c47:0x87b5c410e9c6e2d3!8m2!3d23.7820252!4d86.2228579",Exact,
116,Jharkhand ,Dhanbad ,"NEW AKASH KINAREE COLLY
(NAKC)",1.2,BCCL,Coal,G,Mixed,23.8079,86.2843,"Google Maps: https://www.google.com/maps/place/Seam+2+Office+New+Akash+Kinaree+Colliery/@23.807866,86.284204,21z/data=!4m5!3m4!1s0x39f6a0ce805943cf:0x46fa645a90cc027f!8m2!3d23.8078664!4d86.2843398",Approximate: coordinates of Seam 2 Office New Akash Kinaree Colliery,
117,Jharkhand ,Dhanbad ,"AMALGAMATED KESHALPUR
WEST MUDIDIH COLLIERY
(AKWMC)",4.22,BCCL,Coal,G,Mixed,23.8078,86.3221,"BCCL website, Katras area overview: http://www.bcclweb.in/?page_id=1718",Exact,
118,Jharkhand ,Dhanbad ,TETULMARI,0.67,BCCL,Coal,G,Mixed,23.8034,86.345,FORM- I FOR CLUSTER V OF BCCL MINES: http://environmentclearance.nic.in/writereaddata/modification/PreviousTOR/13092017UZBIBOX5Annexure-UpdatedForm1Letter.pdf,Exact,
119,Jharkhand ,Dhanbad ,"NEW GODHUR. KUSUNDA
COLLIERY",0.95,BCCL,Coal,G,Mixed,23.7885552,86.39191249,"Google Maps: https://www.google.com/maps/place/Godhar,+Jharkhand,+India/@23.788151,86.3914975,351m/data=!3m1!1e3!4m5!3m4!1s0x39f6a310e8342ccf:0x9774cadc65452236!8m2!3d23.783867!4d86.3959473",Exact,
120,Jharkhand ,Dhanbad ,"GONDUDIH KHAS KUSUNDU
COLLY",0.24,BCCL,Coal,G,Mixed,23.804,86.3773,"Google Maps: https://www.google.com/maps/place/Gondudih+Khas+Kusunda+Colliery+Office/@23.8040294,86.3770616,97m/data=!3m1!1e3!4m8!1m2!2m1!1sGONDUDIH+KHAS+KUSUNDU!3m4!1s0x39f6a39d4b888357:0x1ae857b69509b5e7!8m2!3d23.8039885!4d86.3772723",Approximate: coordinates of Gondudih Khas Kusunda Colliery Office,
121,Jharkhand ,Dhanbad ,GOPALICHUCK,0.01,BCCL,Coal,G,Mixed,23.75483766,86.36436018,"Google Maps: https://www.google.com/maps/place/P+B+Area+Office+BCCL/@23.7541496,86.3636536,324m/data=!3m1!1e3!4m5!3m4!1s0x39f6a24679a41497:0xdf2ee223ff9d4f1d!8m2!3d23.7539721!4d86.3628059",Exact,
122,Jharkhand ,Dhanbad ,KUYA /KOCP,1.922,BCCL,Coal,G,Mixed,23.7363,86.4498,"Google Maps: https://www.google.com/maps/place/KOCP+BCCL/@23.7363607,86.4496692,85m/data=!3m1!1e3!4m5!3m4!1s0x39f6bdc6044fe783:0xc3e342e454f9f8eb!8m2!3d23.7363214!4d86.4497966",Exact,
123,Jharkhand ,Dhanbad ,BHOWRA(SOUTH) COLLIERY,0.32,BCCL,Coal,G,Mixed,23.6821,86.4007,"Google Maps: https://www.google.com/maps/place/BCCL,+Bhowra+North%2FSouth+Colliery+Office/@23.6813968,86.3977709,664m/data=!3m1!1e3!4m13!1m7!3m6!1s0x39f6983786f682ab:0x8a235141e818006d!2sBhowra,+Pathardih,+Jharkhand+828302,+India!3b1!8m2!3d23.6851273!4d86.3978464!3m4!1s0x0:0xd505d4873fc9cf5b!8m2!3d23.6820624!4d86.400619",Approximate: coordinates of BCCL Bhowra North/South Colliery Office,
124,Jharkhand ,Dhanbad ,Jharia Division,1.243,TSL,Coal,P,OC,23.7079,86.4002,"Google Maps: https://www.google.com/maps/place/Jharia+Division+Tata+Steel/@23.7092463,86.393294,15z/data=!4m8!1m2!2m1!1sJharia+Division!3m4!1s0x39f69811611fa451:0xaf484e6f88036208!8m2!3d23.7077609!4d86.4001743",Approximate: coordinates of Jharia Division Tata Steel,
125,Jharkhand ,Ramgarh,BHURKUNDA UG,0.04,CCL,Coal,G,UG,23.6523,85.3598,"Google Maps: https://www.google.com/maps/place/Bhurkunda,+Jharkhand,+India/@23.654821,85.3449029,14z/data=!4m5!3m4!1s0x39f4ec67dddffc05:0x983cc36997b44e3b!8m2!3d23.652439!4d85.3601307",Approximate center coordinates of Bhurkunda,
126,Jharkhand ,Ramgarh,BHURKUNDA OC,0.68,CCL,Coal,G,OC,23.6572,85.3653,"Google Maps: https://www.google.com/maps/place/Bhurkunda+Open+Cast+Mine/@23.6558357,85.36,15.01z/data=!4m5!3m4!1s0x39f4ec855f8517cf:0x3eeca7a171e6e17e!8m2!3d23.6571921!4d85.3652608",Exact,
127,Jharkhand ,Ramgarh,SAUNDA,0,CCL,Coal,G,UG,23.6625,85.3347,2016-17 Environmental Statement of Saunda 'D' Colliery: https://www.centralcoalfields.in/pdfs/sutbs/envrmnt/01_11_17_saunda_D.pdf,Approximate: coordinates for Saunda D colliery,
128,Jharkhand ,Ramgarh,C. SAUNDA,0,CCL,Coal,G,UG,23.6716,85.3472,"Google Maps: https://www.google.com/maps/place/Central+Saunda,+Saunda+Basti,+Jharkhand+829126,+India/@23.6659342,85.3427457,15z/data=!4m8!1m2!2m1!1sSAUNDA+colliery!3m4!1s0x39f4eb5d7395e3f5:0xf9207a057bf5f320!8m2!3d23.6706252!4d85.347864",Approximate: coordinates of Central Saunda,
129,Jharkhand ,Ramgarh,SIRKA,0,CCL,Coal,G,OC,23.7507,85.5833,"Google Maps: https://www.google.com/maps/place/Sirka,+Jharkhand,+India/@23.749698,85.5634453,14z/data=!4m5!3m4!1s0x39f48a5fc3a572cb:0x92f57eb82fc60f01!8m2!3d23.7510037!4d85.5843632",Approximate: coordinates of Sirka area,
130,Jharkhand ,Ramgarh,SARUBERA/CHAINPUR,0.01,CCL,Coal,G,OC,23.71,85.5518,2014-15 Environmental Statement of Sarubera Project: https://www.centralcoalfields.in/pdfs/sutbs/envrmnt/SARUBERA_OC_UG.pdf,Exact,
131,Jharkhand ,Ramgarh,ARA,0,CCL,Coal,G,OC,23.7414,85.5555,"Google Maps: https://www.google.com/maps/place/Bal+Vidya+Mandir/@23.7412555,85.5552913,19z/data=!4m13!1m7!3m6!1s0x39f48b06a98da709:0x6834e07c999c979e!2sAra,+Jharkhand+829131,+India!3b1!8m2!3d23.7416514!4d85.5557418!3m4!1s0x39f48b06a83ee017:0x8831a5a719e894bb!8m2!3d23.7413547!4d85.5555153",Approximate: coordinates of Bal Vidya Mandir school,
132,Jharkhand ,Ramgarh,KARMA,0.49,CCL,Coal,G,OC,23.6505,85.5659,"Google Maps: https://www.google.com/maps/place/Karma+Ocp+Pit+Office/@23.6502433,85.5641064,17z/data=!4m5!3m4!1s0x39f4f5aa24555d79:0x3ffbc16d3ad29413!8m2!3d23.6504651!4d85.5658755",Approximate: coordinates of Karma OCP Pit Office,
133,Jharkhand ,Ramgarh,PUNDI,0.03,CCL,Coal,G,OC,23.8236,85.5218,Mining Plan of Pundi OCP: http://environmentclearance.nic.in/writereaddata/Online/TOR/14_Apr_2018_190641227WNQOIWA6AnnexurepreFeasibilityreport.pdf,Exact,
134,Jharkhand ,Ramgarh,KUJU,0,CCL,Coal,G,OC,23.7474,85.5094,Mining Plan of Kuju OCP: http://environmentclearance.nic.in/writereaddata/Online/EDS/0_0_18_May_2019_1402450671KujuOCP.pdf,Exact,
135,Jharkhand ,Ramgarh,TOPA,1.2,CCL,Coal,G,OC,23.7379,85.4807,"Google Maps: https://www.google.com/maps/place/Topa+Opencast+Mines/@23.7384655,85.4787029,17z/data=!4m12!1m6!3m5!1s0x39f48ce2d5e15aaf:0xb275165dde108a22!2sCCL+Project+office+topa+colliery!8m2!3d23.7328428!4d85.4813207!3m4!1s0x39f48cfdc633a30f:0xf5e25f7039b7c1eb!8m2!3d23.7378265!4d85.4806843",Exact,
136,Jharkhand ,Ramgarh,HESAGARA,0,CCL,Coal,G,OC,23.7602,85.505,"Google Maps: https://www.google.com/maps/place/Hesagara,+Jharkhand+825316,+India/@23.7612206,85.4705057,13z/data=!4m5!3m4!1s0x39f48c6edb7c48e7:0x70f560ff2cd6ec95!8m2!3d23.7606604!4d85.5071469",Approximate: coordinates of Hesagara area,
137,Jharkhand ,Ramgarh,KEDLA UG,0.02,CCL,Coal,G,UG,23.803,85.5951,"Google Maps: https://www.google.com/maps/place/Kedla+Underground+Project,+Jharkhand+825325,+India/@23.7874146,85.5744791,13.96z/data=!4m5!3m4!1s0x39f489fbbf2829b7:0xaa8f822789ff6155!8m2!3d23.8028852!4d85.5949717",Exact,
138,Jharkhand ,Ramgarh,LAIYO,0,CCL,Coal,G,UG,23.7903,85.6253,"Google Maps: https://www.google.com/maps/place/LAIYO+COLLIERY/@23.790417,85.3068613,9.82z/data=!4m5!3m4!1s0x39f461a03456737b:0x35fa664c542608dd!8m2!3d23.7903032!4d85.6252578",Exact,
139,Jharkhand ,Ramgarh,KEDLA OC,0.01,CCL,Coal,G,OC,23.7983,85.5792,"Google Maps: https://www.google.com/maps/place/kocp+ccl/@23.8012864,85.5806476,15z/data=!4m13!1m7!3m6!1s0x39f489fbbf2829b7:0xaa8f822789ff6155!2sKedla+Underground+Project,+Jharkhand+825325,+India!3b1!8m2!3d23.8028852!4d85.5949717!3m4!1s0x39f4898b4b617045:0x85d655ac0d30acd9!8m2!3d23.7983549!4d85.579218",Exact,
140,Jharkhand ,Ramgarh,PAREJ EAST,0.59,CCL,Coal,G,OC,23.7389,85.5389,Pre-Feasibility Report of PAREJ EAST OCP: http://environmentclearance.nic.in/writereaddata/Online/TOR/06_Sep_2018_181421043MYCHCM4RAnnexure-prefeasibilityReport.pdf,Exact,
141,Jharkhand ,Ramgarh,JHARKHAND,0.91,CCL,Coal,G,OC,23.79961296,85.60716063,"Google Maps: https://www.google.com/maps/place/jharkhand+opencast+project+Officer's+Club/@23.7978053,85.6025145,659m/data=!3m1!1e3!4m12!1m6!3m5!1s0x39f4620176ad2c7d:0x1e4cb95d887decc7!2sjharkhand+opencast+project+Officer's+Club!8m2!3d23.7995034!4d85.6065738!3m4!1s0x39f4620176ad2c7d:0x1e4cb95d887decc7!8m2!3d23.7995034!4d85.6065738",Approximate: Jharkhand project office club,
